시설물유형,시설물 위치,지번주소,경도,위도,설치년도,데이터기준일자
RSE,동해교차로,경상북도 포항시 남구 동해면 석리 산22-2,129.4637865,35.9885431,2014,2020-08-31
RSE,태왕아파트앞삼거리,경상북도 포항시 남구 송도동 254-141,129.3773311,36.04027142,2014,2020-08-31
RSE,송도해수욕장,경상북도 포항시 남구 상도동 387-1,129.3826168,36.03184438,2014,2020-08-31
RSE,남부경찰서앞 교차로,경상북도 포항시 남구 상도동 503-2,129.3450298,36.00623036,2014,2020-08-31
RSE,장성E1충전소 사거리,경상북도 포항시 북구 장성동 1464-2,129.3917987,36.08168226,2014,2020-08-31
RSE,나루끝,경상북도 포항시 북구 대신동 953-6 ,129.3639121,36.04819099,2014,2020-08-31
RSE,동방포항지사 삼거리,경상북도 포항시 남구 괴동동 805-2,129.371199,35.99415115,2014,2020-08-31
RSE,육거리,경상북도 포항시 북구 상원동 441-4 로타리냉면 앞,129.3663304,36.04036137,2014,2020-08-31
RSE,오거리,경상북도 포항시 북구 죽도동 102-4 오거리,129.3660195,36.03290593,2014,2020-08-31
RSE,우현사거리,경상북도 포항시 북구 우현동 543-4 우현사거리,129.360074,36.0526746,2014,2020-08-31
RSE,창포사거리,경상북도 포항시 북구 두호동 1022,129.3709625,36.06205513,2014,2020-08-31
RSE,포항역사거리,경상북도 포항시 북구 대흥동 618-4,129.3614763,36.03589696,2014,2020-08-31
RSE,양학사거리,경상북도 포항시 북구 용흥동 625-8 GS칼텍스수유소 앞 ,129.3523011,36.02450326,2014,2020-08-31
RSE,송도교사거리,경상북도 포항시 북구 죽도동 557-80 송도교사거리,129.3713005,36.03358137,2014,2020-08-31
RSE,동부초등학교사거리,경상북도 포항시 북구 두호동 329-1 동부초등삼거리,129.3817222,36.06300151,2014,2020-08-31
RSE,형산오거리,경상북도 포항시 남구 해도동 231-3 형산로타리,129.3715916,36.01247113,2014,2020-08-31
RSE,현대제철삼거리,경상북도 포항시 남구 동촌동 1011-1 단지주유소 건너편,129.381365,36.00361685,2014,2020-08-31
RSE,대잠사거리,경상북도 포항시 남구 대잠동 142-88 대잠사거리,129.342025,36.012417,2014,2020-08-31
RSE,효자삼거리,경상북도 포항시 남구 효자동 579 효자사거리,129.3395489,36.00864732,2014,2020-08-31
RSE,5호광장,경상북도 포항시 북구 죽도동 644-10 하나은행 앞,129.3559416,36.02015194,2014,2020-08-31
RSE,대도사거리,경상북도 포항시 북구 대도동 57-48 대도사거리,129.3634686,36.02161677,2014,2020-08-31
RSE,섬안사거리,경상북도 포항시 북구 대도동 644-4,129.3564203,36.00842225,2014,2020-08-31
RSE,형산강변로,경상북도 포항시 남구 해도동 88-25 무봉리순대국 건너편,129.3742631,36.01902686,2014,2020-08-31
RSE,성곡IC,경상북도 포항시 북구 흥해읍 초곡리 산 37-3,129.3421733,36.09302163,2014,2020-08-31
RSE,흥해용전,경상북도 포항시 북구 흥해읍 약성리 48-1,129.3459373,36.12022491,2014,2020-08-31
RSE,냉천교삼거리,경상북도 포항시 남구 동촌동 1050-24,129.4006339,35.99282618,2014,2020-08-31
RSE,대련IC,경상북도 포항시 남구 연일읍 학전리 산 21-3,129.3138483,36.04451751,2014,2020-08-31
RSE,아이코아사거리,경상북도 포항시 북구 양덕동 1703 아이코아사거리,129.4021488,36.08167864,2014,2020-08-31
RSE,두산위브,경상북도 포항시 북구 장성동 444-4 애니카랜드 앞,129.3796998,36.07234743,2014,2020-08-31
RSE,이동사거리,경상북도 포항시 남구 대잠동 458-1 이동사거리,129.3386618,36.02519058,2014,2020-08-31
RSE,연화재사거리,경상북도 포항시 북구 용흥동 562 제일교회 앞,129.3441405,36.04496543,2014,2020-08-31
RSE,사격장앞 삼거리,경상북도 포항시 북구 용흥동 산80 사격장 입구,129.3584535,36.04611072,2014,2020-08-31
RSE,북부선착장삼거리,경상북도 포항시 북구 항구동 17-254 ,129.3774344,36.05239628,2014,2020-08-31
RSE,양덕사거리,경상북도 포항시 북구 양덕동 1433 ,129.3972193,36.07665788,2014,2020-08-31
